================================================================================
MARINE SOUND CATALOG — Galápagos Hydrophone Recordings
================================================================================

──────────────────────────────────────────────────────────────────────
FILE: 5783.040122170635.wav
  Unit: 5783  |  Recorded: 2004-01-22 17:06:35
  Segments: 121

          Time  Acoustic Label             PANNs Category   PANNs Top Sound              NDSI
   17:40-17:50  near-silence               ambient          Silence                    -0.206
   17:50-18:00  near-silence               ambient          Silence                    -0.135
   18:00-18:10  near-silence               ambient          Silence                    -0.175
   18:10-18:20  near-silence               ambient          Silence                    -0.225
   18:20-18:30  near-silence               ambient          Silence                    -0.268
   18:30-18:40  near-silence               ambient          Silence                    -0.228
   18:40-18:50  near-silence               ambient          Silence                    -0.258
   18:50-19:00  near-silence               ambient          Silence                    -0.252
   19:00-19:10  near-silence               ambient          Silence                    -0.293
   19:10-19:20  near-silence               ambient          Silence                    -0.329
   19:20-19:30  near-silence               ambient          Silence                    -0.347
   19:30-19:40  near-silence               ambient          Silence                    -0.382
   19:40-19:50  near-silence               ambient          Silence                    -0.379
   19:50-20:00  near-silence               ambient          Silence                    -0.340
   20:00-20:10  near-silence               ambient          Silence                    -0.003

──────────────────────────────────────────────────────────────────────
FILE: 5783.040123030635.wav
  Unit: 5783  |  Recorded: 2004-01-23 03:06:35
  Segments: 121

          Time  Acoustic Label             PANNs Category   PANNs Top Sound              NDSI
  ────────────  ─────────────────────────  ───────────────  ─────────────────────────  ──────
   00:00-00:10  vessel noise               unknown          Music                      -0.986
   00:10-00:20  near-silence               ambient          Silence                    -0.060
   00:20-00:30  near-silence               ambient          Silence                    -0.049
   00:30-00:40  near-silence               ambient          Silence                    -0.051
   00:40-00:50  near-silence               ambient          Silence                    -0.061
   00:50-01:00  near-silence               ambient          Silence                    -0.057
   01:00-01:10  near-silence               ambient          Silence                    -0.063
   01:10-01:20  near-silence               ambient          Silence                    -0.066
   01:20-01:30  near-silence               ambient          Silence                    -0.051
   01:30-01:40  near-silence               ambient          Silence                    -0.054
   01:40-01:50  near-silence               ambient          Silence                    -0.069
   01:50-02:00  near-silence               ambient          Silence                    -0.112
   02:00-02:10  near-silence               ambient          Silence                    -0.153
   02:10-02:20  near-silence               ambient          Silence                    -0.143
   02:20-02:30  near-silence               ambient          Silence                    -0.164
   02:30-02:40  near-silence               ambient          Silence                    -0.143
   02:40-02:50  near-silence               ambient          Silence                    -0.156
   02:50-03:00  near-silence               ambient          Silence                    -0.155
   03:00-03:10  near-silence               ambient          Silence                    -0.149
   03:10-03:20  near-silence               ambient          Silence                    -0.164
   03:20-03:30  near-silence               ambient          Silence                    -0.181
   03:30-03:40  near-silence               ambient          Silence                    -0.188
   03:40-03:50  near-silence               ambient          Silence                    -0.228
   03:50-04:00  near-silence               ambient          Silence                    -0.182
   04:00-04:10  near-silence               ambient          Silence                    -0.191
   04:10-04:20  near-silence               ambient          Silence                    -0.177
   04:20-04:30  near-silence               ambient          Silence                    -0.149
   04:30-04:40  near-silence               ambient          Silence                    -0.139
   04:40-04:50  near-silence               ambient          Silence                    -0.130
   04:50-05:00  near-silence               ambient          Silence                    -0.115
   05:00-05:10  near-silence               ambient          Silence                    -0.137
   05:10-05:20  near-silence               ambient          Silence                    -0.147
   05:20-05:30  near-silence               ambient          Silence                    -0.115
   05:30-05:40  near-silence               ambient          Silence                    -0.144
   05:40-05:50  near-silence               ambient          Silence                    -0.143
   05:50-06:00  near-silence               ambient          Silence                    -0.124
   06:00-06:10  near-silence               ambient          Silence                    -0.120
   06:10-06:20  near-silence               ambient          Silence                    -0.136
   06:20-06:30  near-silence               ambient          Silence                    -0.149
   06:30-06:40  near-silence               ambient          Silence                    -0.129
   06:40-06:50  near-silence               ambient          Silence                    -0.142
   06:50-07:00  near-silence               ambient          Silence                    -0.126
   07:00-07:10  near-silence               ambient          Silence                    -0.118
   07:10-07:20  near-silence               ambient          Silence                    -0.118
